Team Name,Year,Wins,Losses,Home Wins,Home Losses,Road Wins,Road Losses,Margin <= 3 Victories,Margin <= Losses,Margin >= 10 Victories,Margin >= Losses,PPG,Off Rating,Def Rating,Pace,FG%,FG3%,FT%,Off RBG,Def RBG,Assists / Game,Steals / Game,Blocks / Game,Turnovers / Game,Fouls / Game,Reached Finals,Finals Win
Indiana Pacers,1998,58,24,32,9,26,15,9,7,24,4,96,108.4,101.6,87.9,0.469,0.39,0.764,10.7,28.6,23,7.9,4.5,14.2,22.7,0,0
New York Knicks,1997,57,25,31,10,26,15,9,4,23,10,95.4,104.4,101,90.5,0.463,0.363,0.748,11.9,30.7,22.1,7.7,4.6,17.8,24.8,0,0
Seattle SuperSonics,1997,57,25,31,10,26,15,4,9,39,6,100.9,111.2,102.7,90.3,0.467,0.353,0.752,12.3,27.7,23.5,11,4.7,15,22,0,0
Houston Rockets,2015,56,26,30,11,26,15,8,4,31,14,103.9,107,103.4,96.5,0.444,0.348,0.715,11.7,32,22.2,9.5,5,16.7,22,0,0
Los Angeles Clippers,2015,56,26,30,11,26,15,3,5,33,9,106.7,112.4,105.5,94.7,0.473,0.376,0.71,9.6,33.1,24.8,7.8,5,12.3,21.3,0,0
Phoenix Suns,1998,56,26,30,11,26,15,6,5,30,13,99.6,107.4,101.8,91.4,0.468,0.356,0.749,12.1,29.9,25.9,9.2,5.2,15.1,21.5,0,0
New Orleans Hornets,2008,56,26,30,11,26,15,8,4,37,15,100.9,111.5,105.7,89.9,0.466,0.389,0.769,11.4,30.4,21.8,7.8,3.9,11.9,18.7,0,0
New York Knicks,1995,55,27,29,12,26,15,5,5,26,14,98.2,107.2,103.8,91.2,0.467,0.368,0.734,11.3,30.2,25.1,7.2,4.7,15.9,25.6,0,0
Los Angeles Lakers,1984,54,28,28,13,26,15,6,5,24,12,115.6,110.9,107.3,103.7,0.532,0.257,0.754,13.4,30.5,29.9,8.9,5.8,19.2,25,1,0
San Antonio Spurs,2009,54,28,28,13,26,15,12,7,26,12,97,108.5,104.3,88.4,0.466,0.386,0.761,8.9,32.2,21.2,5.8,4,11.7,18.9,0,0
Seattle SuperSonics,2005,52,30,26,15,26,15,7,5,25,15,98.9,112.2,109.6,87.9,0.444,0.365,0.79,12.7,28.2,18.1,6.7,4.1,13.6,23.7,0,0
Boston Celtics,2010,50,32,24,17,26,15,8,6,23,10,99.2,107.7,103.8,91.6,0.483,0.348,0.746,8.7,29.9,23.5,8.5,4.9,14.9,22.1,1,0
Philadelphia 76ers,1981,62,20,37,4,25,16,8,5,38,7,111.7,107,99.5,103.4,0.514,0.226,0.768,13.3,31.9,28.9,10.5,7.2,20.8,25.1,0,0
Sacramento Kings,2002,61,21,36,5,25,16,6,1,39,15,104.6,109,101.1,95.6,0.467,0.367,0.751,12.4,33,23.9,9,4.6,13.8,19,0,0
San Antonio Spurs,2011,61,21,36,5,25,16,7,4,32,9,103.7,111.8,105.6,92.3,0.475,0.397,0.767,10.1,31.7,22.4,7.3,4.5,13.4,19,0,0
Atlanta Hawks,2015,60,22,35,6,25,16,6,4,30,10,102.5,108.9,103.1,93.9,0.466,0.38,0.778,8.7,31.8,25.7,9.1,4.6,14.2,17.8,0,0
Toronto Raptors,2018,59,23,34,7,25,16,5,7,33,5,111.7,113.8,105.9,97.4,0.472,0.358,0.794,9.8,34.2,24.3,7.6,6.1,13.4,21.7,0,0
Oklahoma City Thunder,2014,59,23,34,7,25,16,10,4,33,8,106.2,110.5,103.9,95.4,0.471,0.361,0.806,10.8,33.9,21.9,8.3,6.1,15.3,22.7,0,0
Orlando Magic,2010,59,23,34,7,25,16,3,4,39,6,102.8,111.4,103.3,92,0.47,0.375,0.724,9.9,33.4,19.7,6.2,5.6,14.1,19.9,0,0
Detroit Pistons,2008,59,23,34,7,25,16,5,3,37,10,97.5,111.4,102.9,87.3,0.458,0.366,0.767,11.9,29.5,22.3,7.1,5.8,11.7,20.6,0,0
Los Angeles Lakers,1983,58,24,33,8,25,16,13,5,34,10,115,110.5,105.2,103.8,0.528,0.104,0.736,15.1,29.7,30.7,10.3,5.8,19.3,23.5,1,0
Los Angeles Lakers,1991,58,24,33,8,25,16,4,3,38,9,106.3,112.1,105,94.1,0.484,0.304,0.798,13.1,29.8,25.5,7.8,4.7,14.7,18.6,1,0
San Antonio Spurs,2001,58,24,33,8,25,16,3,7,40,6,96.2,106.6,98,89.6,0.461,0.407,0.715,11,33.1,21.7,6.9,7,14,18.9,0,0
Seattle SuperSonics,1995,57,25,32,9,25,16,4,5,38,7,110.4,114.8,106.3,95.5,0.491,0.376,0.758,13,28.5,25.8,11.2,4.8,15.8,25.2,0,0
New York Knicks,1994,57,25,32,9,25,16,5,6,35,11,98.5,105.7,98.2,92.8,0.46,0.348,0.746,14.3,31,25.2,9.2,4.7,16.6,24.4,1,0
Los Angeles Lakers,1997,56,26,31,10,25,16,7,4,29,15,100,108.3,103.7,91.1,0.454,0.367,0.692,13.3,29.4,22.5,9,7,14.9,22.2,0,0
San Antonio Spurs,1998,56,26,31,10,25,16,7,3,31,15,92.5,103.8,99.4,88.4,0.468,0.35,0.688,12,32.2,22.4,6.3,6.9,16.1,21.1,0,0
Houston Rockets,2017,55,27,30,11,25,16,8,3,30,11,115.3,114.7,109,100,0.462,0.357,0.766,10.9,33.5,25.2,8.2,4.3,15.1,19.9,0,0
Phoenix Suns,2008,55,27,30,11,25,16,3,5,31,9,110.1,113.3,108.1,96.7,0.5,0.393,0.783,8.8,32.7,26.7,6.5,6.3,14.4,19.9,0,0
Oklahoma City Thunder,2011,55,27,30,11,25,16,10,5,22,8,104.8,111.2,107.2,92.7,0.464,0.347,0.823,11,31.8,20.4,8,5.9,14.1,22.4,0,0
Miami Heat,1998,55,27,30,11,25,16,9,4,28,13,95,107.6,102,87.9,0.45,0.355,0.739,12.5,29.5,21.4,8.1,5.2,15,24.2,0,0
Dallas Mavericks,2001,53,29,28,13,25,16,4,5,28,14,100.5,107.1,102.6,93.2,0.459,0.381,0.794,10.1,31.4,21.2,7.5,6,13.9,23.3,0,0
Utah Jazz,2001,53,29,28,13,25,16,5,4,31,9,97.1,107.6,102.4,89.8,0.471,0.381,0.752,11.5,29.1,25.7,8.1,5.6,15.8,25.7,0,0
Houston Rockets,2005,51,31,26,15,25,16,12,6,28,11,95.1,106.2,101.7,88.8,0.443,0.364,0.781,10.7,31.7,21.1,6.9,4.6,13.8,22,0,0
Portland Trail Blazers,1990,59,23,35,6,24,17,7,6,33,8,114.2,110.5,104.4,102.3,0.473,0.336,0.743,16.5,31.1,25.4,9.1,4.4,16.5,25,1,0
